stadium_id,name,known_names,lat,lon,coord_basis,coord_osm,roof_type,roof_source,field_bearing,field_osm_way_id,field_length_m,bearing_basis,outline_axis_deg,source_note
DET00,Ford Field,Ford Field,42.33993,-83.04557,osm_stadium_center,way/110555613,fixed,https://en.wikipedia.org/wiki/Ford_Field,,,,null_fixed_roof,63.8,
FRA00,Deutsche Bank Park,Deutsche Bank Park,50.06859,8.64540,osm_field_centroid,way/24833322,retractable,https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt),,,,null_soccer_pitch_only,128.6,Soccer pitch agrees with outline (127 deg) but the NFL field laid over it isn't mapped.
GER00,Allianz Arena,Allianz Arena,48.21879,11.62470,osm_field_centroid,way/123121774,open,https://en.wikipedia.org/wiki/Allianz_Arena,,,,null_soccer_pitch_only,164.0,Same venue as MUN01 (same OSM way). Soccer pitch agrees with outline (165 deg) but the NFL field laid over it isn't mapped.
GNB00,Lambeau Field,Lambeau Field,44.50133,-88.06222,osm_field_centroid,way/145797338,open,https://en.wikipedia.org/wiki/Lambeau_Field,179.8,145797338,113.3,osm_field_outline_disagrees,118.3,Outline axis 118 deg is skewed by the Atrium and other annexes; field polygon is a clean 113.3x52.4 m NFL field running N-S; kept.
HOU00,NRG Stadium,NRG Stadium|Reliant Stadium,29.68486,-95.41080,osm_stadium_center,way/119422708,retractable,https://en.wikipedia.org/wiki/Reliant_Stadium,,,,null_no_field,179.3,"OSM maps the building only; the two football fields ~250 m NW are practice fields, not the stadium field. nflverse's 2026 rows use the retired name 'Reliant Stadium'."
IND00,Lucas Oil Stadium,Lucas Oil Stadium,39.75911,-86.16387,osm_stadium_center,way/989245934,retractable,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,,,,null_no_field,1.8,"OSM maps the building only (two outlines, 26 vs 2 deg -- neither usable)."
JAX00,EverBank Stadium,EverBank Stadium|TIAA Bank Stadium,30.32391,-81.63734,osm_field_centroid,way/172665883,open,https://en.wikipedia.org/wiki/EverBank_Stadium,15.8,172665883,124.8,osm_field_outline_disagrees,105.7,"Outline axis 90 deg off, but building is near-square (aspect 1.05). Field polygon includes sideline turf (124.8x83.5 m) but its long axis is unambiguous; kept. 'Tottenham Hotspur Stadium' (2026_05_PHI_JAX) deliberately NOT a known name -- a mislabeled London game the name guard must catch."
KAN00,GEHA Field at Arrowhead Stadium,Arrowhead Stadium|GEHA Field at Arrowhead Stadium,39.04893,-94.48400,osm_field_centroid,way/65960009,open,https://en.wikipedia.org/wiki/Arrowhead_Stadium,137.0,65960009,114.0,osm_field_agrees,137.1,
LAX01,SoFi Stadium,SoFi Stadium,33.95340,-118.33900,osm_stadium_center,way/860635712,fixed,https://en.wikipedia.org/wiki/SoFi_Stadium,,,,null_fixed_roof,152.9,"Fixed translucent roof but open sides (Wikipedia: 'an open-air facility'), so air temperature is outdoor ambient; skipped under the fixed-roof rule since no rain or direct wind reaches the field."
LON00,Wembley Stadium,Wembley Stadium,51.55596,-0.27957,osm_field_centroid,way/116539074,open,https://en.wikipedia.org/wiki/Wembley_Stadium,,,,null_soccer_pitch_only,96.8,Soccer pitch agrees with outline (~90 deg) but the NFL field laid over it isn't mapped.
LON02,Tottenham Hotspur Stadium,Tottenham Hotspur Stadium|Tottenham Stadium,51.60421,-0.06623,osm_field_centroid,way/636941979,open,https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium,,,,null_soccer_pitch_only,179.4,Soccer pitch agrees with outline (~177 deg); the dedicated NFL surface under the retractable pitch isn't mapped separately.
MAD01,Santiago Bernabéu,Bernabeu,40.45306,-3.68836,osm_field_centroid,way/1446479375,retractable,https://en.wikipedia.org/wiki/Bernabéu_(stadium),,,,null_soccer_pitch_only,93.9,Soccer pitch disagreed with outline by 90 deg; NFL field not mapped. Coords from the pitch (inside the stadium).
MEL00,Melbourne Cricket Ground,Melbourne Cricket Ground,-37.81998,144.98344,osm_field_centroid,way/1043590388,open,https://en.wikipedia.org/wiki/Melbourne_Cricket_Ground,,,,null_no_field,132.2,Cricket oval; no NFL field mapped. nflverse wrongly labels roof 'dome'. Coords from the cricket pitch (inside the ground).
MEX00,Estadio Banorte,Azteca Stadium|Estadio Banorte,19.30293,-99.15049,osm_field_centroid,way/118934909,open,https://en.wikipedia.org/wiki/Estadio_Azteca,,,,null_soccer_pitch_only,6.5,Soccer pitch agrees with outline (~6 deg) but the NFL field laid over it isn't mapped.
MIA00,Hard Rock Stadium,Hard Rock Stadium,25.95793,-80.23885,osm_field_centroid,way/171419978,open,https://en.wikipedia.org/wiki/Hard_Rock_Stadium,121.6,171419978,112.5,osm_field_agrees,121.5,"OSM tags it sport=soccer but it's 112.5x52.4 m, an NFL field."
MIN01,U.S. Bank Stadium,U.S. Bank Stadium,44.97354,-93.25745,osm_stadium_center,way/743461508,fixed,https://en.wikipedia.org/wiki/U.S._Bank_Stadium,,,,null_fixed_roof,,Nominatim returned only a light-rail stop; stadium feature found via Overpass (leisure=stadium within 400 m of it).
MUN01,Allianz Arena,FC Bayern Munich Stadium,48.21879,11.62470,osm_field_centroid,way/123121774,open,https://en.wikipedia.org/wiki/Allianz_Arena,,,,null_soccer_pitch_only,164.0,Same venue as GER00 (same OSM way). nflverse wrongly labels roof 'dome' -- open over the pitch.
NAS00,Nissan Stadium,Nissan Stadium,36.16647,-86.77128,osm_field_centroid,way/172668023,open,https://en.wikipedia.org/wiki/Nissan_Stadium,155.6,172668023,114.1,osm_field_agrees,155.6,
NOR00,Caesars Superdome,Caesars Superdome|Mercedes-Benz Superdome,29.95105,-90.08109,osm_stadium_center,relation/4598860,fixed,https://en.wikipedia.org/wiki/Caesars_Superdome,,,,null_fixed_roof,22.6,
NYC01,MetLife Stadium,MetLife Stadium,40.81353,-74.07436,osm_field_centroid,way/180559973,open,https://en.wikipedia.org/wiki/MetLife_Stadium,166.5,180559973,110.1,osm_field_agrees,167.9,"OSM tags it sport=soccer but it's 110.1x48.4 m, an NFL field."
PAR00,Stade de France,Stade de France,48.92446,2.36013,osm_field_centroid,way/23608423,open,https://en.wikipedia.org/wiki/Stade_de_France,,,,null_soccer_pitch_only,168.9,Soccer pitch agrees with outline (~169 deg) but the NFL field laid over it isn't mapped. nflverse wrongly labels roof 'dome'.
PHI00,Lincoln Financial Field,Lincoln Financial Field,39.90080,-75.16746,osm_field_centroid,way/708050530,open,https://en.wikipedia.org/wiki/Lincoln_Financial_Field,171.3,708050530,130.1,osm_field_agrees,170.9,"Hand-picked: polygon is 130.1 m (incl. sideline turf), just over the script's 130 m auto-pick cutoff; only candidate."
PHO00,State Farm Stadium,State Farm Stadium,33.52778,-112.26267,osm_stadium_center,relation/7370103,retractable,https://en.wikipedia.org/wiki/State_Farm_Stadium,148.2,130353352,124.5,osm_field_agrees,147.0,"Polygon is the roll-out grass tray in its outdoor position; its axis matches the building's. Coords from the stadium center instead, since the tray sits outside."
PIT00,Acrisure Stadium,Acrisure Stadium|Heinz Field,40.44679,-80.01577,osm_field_centroid,way/172659571,open,https://en.wikipedia.org/wiki/Acrisure_Stadium,154.5,172659571,123.3,osm_field_outline_disagrees,167.7,Outline axis ~13 deg off (open-ended horseshoe bowl skews it); field polygon includes sideline turf (123.3x86.2 m) but its long axis is unambiguous; kept.
RIO00,Maracanã,Maracana Stadium,-22.91216,-43.23019,osm_stadium_center,relation/4587734,open,https://en.wikipedia.org/wiki/Maracanã_Stadium,,,,null_soccer_pitch_only,153.0,Soccer pitch (way 1361281074) centroid coincides with the stadium center -- it is the Maracana pitch; found via the 150 m fallback only because the stadium is an OSM relation whose area lookup returned nothing. Disagreed with the (elliptical) outline by 58 deg; NFL field not mapped.
SAO00,Neo Química Arena,Arena Corinthians,-23.54532,-46.47423,osm_field_centroid,way/218667235,open,https://en.wikipedia.org/wiki/Arena_Corinthians,,,,null_soccer_pitch_only,90.6,Soccer pitch disagreed with outline by 90 deg; NFL field not mapped. Coords from the pitch (inside the stadium).
SEA00,Lumen Field,CenturyLink Field|Lumen Field,47.59516,-122.33163,osm_field_centroid,way/163840038,open,https://en.wikipedia.org/wiki/Lumen_Field,0.0,163840038,113.5,osm_field_agrees,179.8,"Two overlapping polygons (NFL and soccer), same 0 deg axis; the american_football one used."
SFO01,Levi's Stadium,Levi's Stadium,37.40318,-121.96980,osm_field_centroid,way/357300430,open,https://en.wikipedia.org/wiki/Levi's_Stadium,152.0,357300430,113.4,osm_field_agrees,148.5,
TAM00,Raymond James Stadium,Raymond James Stadium,27.97597,-82.50335,osm_field_centroid,way/172698720,open,https://en.wikipedia.org/wiki/Raymond_James_Stadium,179.7,172698720,122.3,osm_field_agrees,179.7,
VEG00,Allegiant Stadium,Allegiant Stadium,36.09073,-115.18333,osm_stadium_center,way/691478555,fixed,https://en.wikipedia.org/wiki/Allegiant_Stadium,,,,null_fixed_roof,17.7,
WAS00,Northwest Stadium,FedExField|Northwest Stadium,38.90767,-76.86450,osm_field_centroid,way/612644655,open,https://en.wikipedia.org/wiki/Northwest_Stadium,119.2,612644655,108.4,osm_field_agrees,118.9,
